source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
575,1789484857.8139675,46758.6458941,168,1,a80001001881ff42bf4155595d2287b345525452
576,1789484857.814715,46758.6466417,168,2,a8000200feb43782ce37a9a20000a80045525452
577,1789484857.8333156,46758.6652424,169,0,a9000000a6640362c00e494792047c042ee1ce24
578,1789484857.833986,46758.6659127,169,1,a9000100129cb26d182cc46e5950973c6fcf8448
579,1789484857.8347175,46758.6666442,169,2,a9000200f5e536271382933c0000a9006fcf8448
580,1789484857.8532755,46758.6852024,170,0,aa000000a76c6e656ef4cd46655e07b46a2a542d
581,1789484857.853996,46758.6859229,170,1,aa0001009a0c9fcba2429925caf646c9bce1b44c
582,1789484857.8547282,46758.6866549,170,2,aa000200c201ef2fbf13e97b0000aa00bce1b44c
583,1789484857.873279,46758.7052056,171,0,ab000000a7747fe14604180c186b5eaa91e77701
584,1789484857.873958,46758.7058849,171,1,ab0001006566760d52505825509f20574a114f23
585,1789484857.8747306,46758.7066574,171,2,ab0002003b981425003b518f0000ab004a114f23
586,1789484857.8932664,46758.7251932,172,0,ac000000c66262101604785682401f4fd99e0c37
587,1789484857.8939674,46758.7258941,172,1,ac0001001040c1ec82c362fc5c9c5e639cb3cd90
588,1789484857.8947322,46758.7266591,172,2,ac00020032238b9c0ecce9fb0000ac009cb3cd90
589,1789484857.9132624,46758.7451892,173,0,ad000000da6c7ef6b50c4d911a5e9d0c5c5d7546
590,1789484857.9139645,46758.7458913,173,1,ad0001004770bc022dfdfcd51e1e7f32f226bd67
591,1789484857.914758,46758.7466848,173,2,ad0002003d42c971a77be9eb0000ad00f226bd67
592,1789484857.9332874,46758.7652141,174,0,ae000000da6c7f54a66eb4a21ad56813358dd66a
593,1789484857.9339592,46758.7658858,174,1,ae000100764025f60cd40104d1e415eb8a40c8ec
594,1789484857.9347415,46758.7666683,174,2,ae000200f5dead04c637e9230000ae008a40c8ec
595,1789484857.953289,46758.7852157,175,0,af000000a76c6c0c2d396412c4db009b21b51312
596,1789484857.953961,46758.7858877,175,1,af00010034c59076f717d75e2780d44e3a2c2605
597,1789484857.9547405,46758.7866672,175,2,af00020030049ac0227ae92f0000af003a2c2605
598,1789484857.9732935,46758.8052204,176,0,b0000000e66bc40401a3639015d190e441eb31bc
599,1789484857.9739716,46758.8058984,176,1,b00001008604d4416376fa92e39c4fe24163fb81
600,1789484857.9747539,46758.8066806,176,2,b000020010f8c62c1f11e9ec0000b0004163fb81
601,1789484857.993301,46758.8252277,177,0,b1000000c663861187b504b078abec80fb1196a6
602,1789484857.993992,46758.8259191,177,1,b10001006e96101c7329ac54004e4f2643807b3e
603,1789484857.994753,46758.8266796,177,2,b1000200f5c2e6d577cbc19c0000b10043807b3e
604,1789484858.0132911,46758.8452178,178,0,b2000000d66c6e61123c24d86f44119cb2868782
605,1789484858.0139823,46758.8459091,178,1,b20001009e470795f01f9e4c9d05c018d18796a4
606,1789484858.01479,46758.846717,178,2,b200020039b65eec0ce341a10000b200d18796a4
607,1789484858.0333126,46758.8652392,179,0,b3000000b76c7fe136f5c060f7b13825907542ce
608,1789484858.0339892,46758.8659159,179,1,b30001001f47564ed134cc0044be0d6ba4dfe17d
609,1789484858.0347736,46758.8667003,179,2,b30002004027ef000e3b09220000b300a4dfe17d
610,1789484858.0532997,46758.8852265,180,0,b4000000d66c0ae108a063184704a204824f5061
611,1789484858.0539982,46758.8859252,180,1,b40001006b801d30805547952ca6f22754571fdc
612,1789484858.054758,46758.886685,180,2,b40002009d7ae6744e3849250000b40054571fdc
613,1789484858.0733216,46758.9052483,181,0,b500000036750b614b1165fbb4505dc17be08c46
614,1789484858.0739977,46758.9059245,181,1,b500010080007830309ee606ff86a41af6eee282
615,1789484858.0747535,46758.9066803,181,2,b500020078c0d9af0e3999c20000b500f6eee282
616,1789484858.093304,46758.9252306,182,0,b6000000746b2c0635c22ba46dc517410e0b2f95
617,1789484858.093968,46758.9258947,182,1,b60001009d5d36d43b4190839436118c3096a586
618,1789484858.09477,46758.9266968,182,2,b6000200834d9d997c1069f70000b6003096a586
619,1789484858.1132958,46758.9452226,183,0,b7000000d66c72e04308b20470487c043826282b
620,1789484858.113997,46758.9459239,183,1,b70001002cb625587536e740bc4a7210c401059a
621,1789484858.1147761,46758.9467028,183,2,b7000200c85fb567a73be9bb0000b700c401059a
622,1789484858.1332939,46758.9652207,184,0,b80000008f63c0e0e28457b03360632b637904dc
623,1789484858.1339953,46758.9659221,184,1,b8000100be46e3c8b78612e89dced356596d7a3f
624,1789484858.1347847,46758.9667115,184,2,b800020074dfbc2c3b1a49380000b800596d7a3f
625,1789484858.1532836,46758.9852104,185,0,b90000002e64e20e11c57c90a34002970811e4da
626,1789484858.1539698,46758.9858964,185,1,b9000100380ae701d76df0b94798f83ed8984370
627,1789484858.1547666,46758.9866934,185,2,b9000200e3f1011b66f0e99b0000b900d8984370
628,1789484858.173293,46759.0052199,186,0,ba0000003a6c2c46b7b3f3e8a9608693625fcad4
629,1789484858.173991,46759.0059176,186,1,ba0001008d7523870621bd8e672610195a053b77
630,1789484858.174767,46759.0066939,186,2,ba000200dba88ff4a7f769d00000ba005a053b77
631,1789484858.1932719,46759.0251984,187,0,bb0000007663e7c4b0a438ef241e943869254416
632,1789484858.1939995,46759.0259263,187,1,bb0001009c3977967cb0993812a201204d61ccdc
633,1789484858.1947765,46759.0267034,187,2,bb000200f89e93057ce2e9fb0000bb004d61ccdc
634,1789484858.2133107,46759.0452375,188,0,bc000000d66caa6519f8e20a3f94eb45d1e4bcda
635,1789484858.2140005,46759.0459272,188,1,bc000100c662d56d2b073725c87604afe896e7a5
636,1789484858.2147825,46759.0467092,188,2,bc000200c62e9b489d3f31cb0000bc00e896e7a5
637,1789484858.2332964,46759.0652231,189,0,bd000000a76c7f6590248ea7a4cc7da0cb419149
638,1789484858.2340088,46759.0659356,189,1,bd0001009862c56b546cd5b1b6001610629c4335
639,1789484858.234771,46759.0666977,189,2,bd00020073e6565f4e39e9bb0000bd00629c4335
640,1789484858.2532783,46759.085205,190,0,be000000876362e00e3843c5aa26f3c6fa6fbb0f
641,1789484858.2539976,46759.0859244,190,1,be000100354ef35401957b3482c9c1101a4471cf
642,1789484858.2547703,46759.0866969,190,2,be00020050a6de9a0aede9470000be001a4471cf
643,1789484858.2732835,46759.1052103,191,0,bf00000076622c061804945173121898222e7cf2
644,1789484858.2739797,46759.1059065,191,1,bf000100a86a82147c492165cc403aac5f119203
645,1789484858.2747622,46759.106689,191,2,bf000200dd64e1d82e7edfe50000bf005f119203
646,1789484858.2933173,46759.1252441,192,0,c000000096628cfc7d85145a97275328b450bb93
647,1789484858.2939775,46759.1259043,192,1,c00001001033b643bf3dddafc61ed4c670b0f315
648,1789484858.2947705,46759.1266972,192,2,c0000200ac69ce3f0347717c0000c00070b0f315
649,1789484858.3132982,46759.1452251,193,0,c1000000d66c7d64218192eca7430a770bbf559e
650,1789484858.313977,46759.145904,193,1,c10001008968d60955d789467444b94d77809631
651,1789484858.3147671,46759.1466939,193,2,c1000200ea452439463989380000c10077809631
652,1789484858.333302,46759.1652288,194,0,c20000002674727d2f80aa4f50802ec095298629
653,1789484858.3339818,46759.1659084,194,1,c200010024f59b2eb44ef8eca29f07724215b775
654,1789484858.3347714,46759.1666982,194,2,c2000200b180a5a8cebfe9a70000c2004215b775
655,1789484858.353295,46759.1852218,195,0,c300000027742afda2e15a3623454400db2467b7
656,1789484858.353982,46759.1859086,195,1,c3000100c1628239bd9d8653c6f73a8b4761d392
657,1789484858.3547642,46759.1866911,195,2,c3000200102c9e890a39e9fb0000c3004761d392
658,1789484858.3733008,46759.2052276,196,0,c4000000da6ce204962a23e660f795108feabe9f
659,1789484858.3739777,46759.2059043,196,1,c40001009a7aa3563ee0ddf641f05a507970d823
660,1789484858.374773,46759.2066997,196,2,c4000200e4d173870c2ee9cf0000c4007970d823
661,1789484858.393294,46759.2252208,197,0,c5000000a66c22018b608205400c64094295ef8e
662,1789484858.3939826,46759.2259095,197,1,c5000100b5469025538238a2c568899e2f841bb4
663,1789484858.3947709,46759.2266977,197,2,c50002008603e6a1fc9b69b00000c5002f841bb4
664,1789484858.4132886,46759.2452156,198,0,c6000000aa64c40636331517158c4a04211af42e
665,1789484858.4139764,46759.2459029,198,1,c60001003d3dc28c4aa92082f0d6c5b15d96606d
