source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
215,1789484797.7790587,46698.6109856,51,2,33000200540ff6d3d93be92f060033007cc62816
216,1789484797.7807508,46698.6126776,52,0,3400000041c2001df72282618f290a478c6c1244
217,1789484797.78148,46698.613407,52,1,34000100a4bc55023791f36bc8741a3582a98360
218,1789484797.7822795,46698.614206,52,2,34000200094e5454379921c40800340082a98360
219,1789484797.8107786,46698.6427053,53,0,3500000099c95266c247298e10f5b5709a9e4fd2
220,1789484797.811484,46698.643411,53,1,350001007771c61e000995d89c984d5f4e56342a
221,1789484797.8122702,46698.6441969,53,2,35000200501157af5481e9ec090035004e56342a
222,1789484797.8208017,46698.6527287,54,0,3600000078ca526018c59711dd07d43d86b83d8d
223,1789484797.8214817,46698.6534086,54,1,360001003b6aea0834cf2b94bad6e65309e189ab
224,1789484797.822251,46698.6541777,54,2,36000200b53d0aeb8a0f81500a00360009e189ab
225,1789484797.8407629,46698.6726896,55,0,370000005dc68e17ee0815c8993a43a8d3711d56
226,1789484797.8414938,46698.6734206,55,1,37000100c732629735845d3e14d6c20b53c89692
227,1789484797.8422582,46698.6741849,55,2,370002002fbd21249d8be95b0a00370053c89692
228,1789484797.8607738,46698.6927006,56,0,380000002dc60729a406de215d54fd0d75bb5510
229,1789484797.861472,46698.6933987,56,1,380001007a9c54106d005704a9be2383f721f657
230,1789484797.8622615,46698.6941882,56,2,3800020017d6f23feb6d19600a003800f721f657
231,1789484797.8807836,46698.7127103,57,0,3900000078c120630a638e561afeb991c5611b44
232,1789484797.8814912,46698.7134179,57,1,390001001d2043854e4e180892d688a0f5ccf548
233,1789484797.8822508,46698.7141775,57,2,3900020047162298151de95308003900f5ccf548
234,1789484797.900767,46698.7326938,58,0,3a00000023be80bb15154eaceb06362c015c03bc
235,1789484797.9014778,46698.7334048,58,1,3a0001000c7c7688405e0910c21355a209af87a5
236,1789484797.902258,46698.7341848,58,2,3a00020049b0b0d4c3c3a96e07003a0009af87a5
237,1789484797.9215202,46698.753447,59,0,3b00000023beb4501e2d0e6475da178d43bad10e
238,1789484797.922375,46698.7543016,59,1,3b00010019c91ae2122de72a79349135380ef90c
239,1789484797.9230618,46698.7549885,59,2,3b000200d97c0301d0c7099007003b00380ef90c
240,1789484797.940783,46698.7727097,60,0,3c00000057bef7503ddd02cd034c41528eb404ed
241,1789484797.9415028,46698.7734294,60,1,3c000100227a4ec04c4518a9ad9dea061a248dc4
242,1789484797.9422593,46698.7741861,60,2,3c000200379d43048a6f016707003c001a248dc4
243,1789484797.9607882,46698.792715,61,0,3d00000057b63bdb1094322c8ab54418fcf98328
244,1789484797.961491,46698.793418,61,1,3d00010097780a153a4523e63ea8081713f62dda
245,1789484797.96226,46698.7941867,61,2,3d000200855a748dbe048d7903003d0013f62dda
246,1789484797.9808,46698.8127267,62,0,3e0000009da99fb64f2c42dbd88c17558d011445
247,1789484797.9814925,46698.8134192,62,1,3e000100368efe69da470c048daf43dd5a2f62c5
248,1789484797.9822605,46698.8141873,62,2,3e00020026029d11510be97b04003e005a2f62c5
249,1789484798.000799,46698.8327258,63,0,3f00000073ae18b9c0b652250534c184665bae74
250,1789484798.001476,46698.8334029,63,1,3f000100b9d8bcc487d3e0326ae337fb11277e02
251,1789484798.0022857,46698.8342126,63,2,3f000200e6651980d001e91b01003f0011277e02
252,1789484798.0207982,46698.8527251,64,0,400000009ca3c07447361eeed63b271167f618bd
253,1789484798.0214813,46698.853408,64,1,40000100164cea052f348ea09284523e7e42dd77
254,1789484798.0222495,46698.8541763,64,2,40000200101edfe8031309a9010040007e42dd77
255,1789484798.0407598,46698.8726865,65,0,4100000002ab0b2100e80296c28f31363009b55d
256,1789484798.0415072,46698.873434,65,1,410001007cb553fdf295c8c42055b72ba66dbc05
257,1789484798.0422564,46698.8741833,65,2,4100020080ce46db5939913f01004100a66dbc05
258,1789484798.060754,46698.8926809,66,0,42000000e7ac7fa18c4ec102858c16570431fd31
259,1789484798.061483,46698.8934097,66,1,42000100c7456f20437216079fc07c156edd1e5c
260,1789484798.0622625,46698.8941893,66,2,42000200d6c5a00ca43b0961010042006edd1e5c
261,1789484798.0808175,46698.9127443,67,0,430000001eac2394d4967a56b96e4f4c75693d0d
262,1789484798.0814972,46698.9134238,67,1,43000100299047151eb03f86f6cbbdc10a5f0546
263,1789484798.0890288,46698.9209556,67,2,4300020083ba2ce93d83e9fb010043000a5f0546
264,1789484798.100768,46698.9326947,68,0,44000000748baac850cd0136df337c620a7431d6
265,1789484798.1014915,46698.9334182,68,1,440001003fbf1ab4a1a633102f5c179c86b65107
266,1789484798.1022785,46698.9342053,68,2,44000200dc871bec1a3f91d80000440086b65107
267,1789484798.1208112,46698.9527381,69,0,450000006e83a206b628596bde2f6c93525dbeaf
268,1789484798.1214821,46698.953409,69,1,45000100a6de3de466cf018001840c0e64168642
269,1789484798.1222541,46698.9541808,69,2,450002009ba09fa09399592f0000450064168642
270,1789484798.1407638,46698.9726905,70,0,46000000ba8474e7c6d651d2f03f520362dade4a
271,1789484798.1414804,46698.9734072,70,1,46000100a3ca064a7860c1515ebc1b2aec24bf35
272,1789484798.1422606,46698.9741874,70,2,46000200db99ba557618d10200004600ec24bf35
273,1789484798.160756,46698.992683,71,0,470000004e7b868c2e21f65ac2a3424fd34fb7a5
274,1789484798.1614857,46698.9934124,71,1,470001001d35ae0b174ea7594e9b504e792cab4e
275,1789484798.162265,46698.994192,71,2,4700020036fd51071defe98700004700792cab4e
276,1789484798.1908402,46699.0227671,72,0,48000000c67c5206a8a82708b6f560f3e92e103b
277,1789484798.1915278,46699.0234548,72,1,4800010096bf3770f11f9aa915bc3bc136c0df0c
278,1789484798.1923048,46699.0242316,72,2,48000200ff0343092a6ce9fb0000480036c0df0c
279,1789484798.2008047,46699.0327312,73,0,490000004284b4645356bb508d6917a77793e60d
280,1789484798.2015133,46699.03344,73,1,490001006f645435bf918331304a8e231b80c470
281,1789484798.202258,46699.0341851,73,2,490002006bdaba416644e9c3000049001b80c470
282,1789484798.2207732,46699.0526998,74,0,4a000000269d3222a3b637a6a3ce3028abdd6248
283,1789484798.221514,46699.0534407,74,1,4a000100524adc276829fa1c0776193d06fd199d
284,1789484798.2222846,46699.0542113,74,2,4a0002002a10b498d51e54dc03004a0006fd199d
285,1789484798.240772,46699.0726989,75,0,4b000000e0c24e44b6b178e9f3517b6fb59c5ec8
286,1789484798.241489,46699.0734156,75,1,4b000100d8540c3ab0ac0c012c526f8c11519134
287,1789484798.2422788,46699.0742056,75,2,4b000200da0e5751c16fe9090a004b0011519134
288,1789484798.2607706,46699.0926973,76,0,4c000000e1d188571737df01099fa67d49a2c4dd
289,1789484798.2614825,46699.0934092,76,1,4c000100a49162d46d27b1b1fc4ef7ddd7261344
290,1789484798.262273,46699.0941998,76,2,4c0002009988c43f391869490a004c00d7261344
291,1789484798.2808182,46699.1127451,77,0,4d000000d3d1b125000162baf2239201d65fa6c7
